,District,Name.of.Local.Level,llcode,Province,Ward,Employer.Name
79,307,Madhyapur Thimi,30703,Bagmati,2,SOS Children's Villages Nepal
80,307,Madhyapur Thimi,30703,Bagmati,3,Everest Colour Ltd.
81,307,Madhyapur Thimi,30703,Bagmati,4,Shankhadhar Saving And Credit Cooperative Society Ltd.
82,307,Madhyapur Thimi,30703,Bagmati,3,Kshamadevi Building Materials Pvt. Ltd.
83,307,Suryabinayak,30704,Bagmati,4,Janata Saving & Credit Co-Operative Ltd.
84,308,Lalitpur,30802,Bagmati,14,Genius School Lalitpur Pvt. Ltd
85,308,Lalitpur,30802,Bagmati,5,HumanX PVT.LTD
86,308,Lalitpur,30802,Bagmati,10,Banba Group Pvt ltd.
87,308,Lalitpur,30802,Bagmati,22,wesionaryTEAM Pvt. Ltd.
88,308,Lalitpur,30802,Bagmati,14,Micah Nepal
89,308,Lalitpur,30802,Bagmati,1,L.I. Auto Services Pvt. Ltd. 
90,308,Lalitpur,30802,Bagmati,13,Early Childhood Education Centre
91,308,Lalitpur,30802,Bagmati,5,Mountain Child Inc
92,308,Lalitpur,30802,Bagmati,10,Community Information Network (CIN)
93,308,Lalitpur,30802,Bagmati,1,Flextecs Nepal
94,308,Lalitpur,30802,Bagmati,2,CG Foods Industries Pvt. Ltd.
95,308,Lalitpur,30802,Bagmati,16,Bardan Securities Pvt.Ltd
96,308,Lalitpur,30802,Bagmati,5,VALLEY HOMES PVT.LTD
97,308,Lalitpur,30802,Bagmati,8,Octacore Solutions Pvt. Ltd.
98,308,Lalitpur,30802,Bagmati,15,Connect H.R. Pvt. Ltd.
99,308,Lalitpur,30802,Bagmati,3,R & R Hotels and Resorts Pvt. LTD
100,308,Lalitpur,30802,Bagmati,2,Group of Helping Hands Nepal
101,308,Lalitpur,30802,Bagmati,5,Mountain Child Adventure Travel  & Trekking Pvt Ltd
102,308,Lalitpur,30802,Bagmati,10,Kazi Studio Pvt Ltd
103,309,Banepa,30904,Bagmati,6,Budol Samudayik Saving and credit Co-operative Society ltd. 
104,309,Banepa,30904,Bagmati,13,Asha Laghubitta Bittiya Sanstha Limited.
105,309,Dhulikhel,30905,Bagmati,8,Education Empowerment Center
106,309,Panauti,30909,Bagmati,7,Uddham bikas saving & credit co-operative
107,309,Panauti,30909,Bagmati,6,Dwarika Photo Studio
108,309,Panchkhal,30906,Bagmati,4,Progressive Multipurpose Co-operative Agency Ltd.(PROMCAL)
109,312,Hetauda,31206,Bagmati,2,Yuba Bachat Tatha Rin Sahakari Sastha Ltd.
110,312,Hetauda,31206,Bagmati,8,Six Villa Pvt. Ltd.
111,312,Hetauda,31206,Bagmati,8,Antarctic Biscuit Pvt Ltd
112,313,Bharatpur,31304,Bagmati,1,Chitawon Milk Limited
113,313,Bharatpur,31304,Bagmati,16,Golden Agro
114,313,Bharatpur,31304,Bagmati,8,Surya Kiran Fiber Indsustries Pvt Ltd
115,313,Bharatpur,31304,Bagmati,16,United Wire and Cable Industries Pvt. Ltd.
116,313,Bharatpur,31304,Bagmati,3,Global Agro Products Pvt.Ltd
117,405,Pokhara,40504,Gandaki,9,TT INTERNATIONAL
118,405,Pokhara,40504,Gandaki,9,Sanchar Saving & Credit Cooperative Society Ltd.
119,405,Pokhara,40504,Gandaki,10,barahi Bakery P. Ltd
120,405,Pokhara,40504,Gandaki,15,Shining Nepal Multipurpose Company
121,405,Pokhara,40504,Gandaki,2,Sujit Phalphul tatha Tarkari Pasal
122,405,Pokhara,40504,Gandaki,9,Nyaya Health Nepal
123,405,Pokhara,40504,Gandaki,10,Sujal Dairy Pvt.Ltd
124,405,Pokhara,40504,Gandaki,8,Kanchan Printers
125,405,Pokhara,40504,Gandaki,8,JET SECURITY SUPPLIERS AND TRAINING SERVICES PVT.LTD.
126,405,Pokhara,40504,Gandaki,6,Sarangkot Mountain Resort and Spa Pvt. Ltd. 
127,405,Pokhara,40504,Gandaki,9,KARMACHARYA BROTHERS
128,407,Aanbukhaireni,40710,Gandaki,2,SURYA BLENDERS PVT LTD
129,407,Byas,40702,Gandaki,10,Nivix Pharmaceuticals Pvt. Ltd
130,408,Baudikali,40803,Gandaki,2,BAUDIKALI RURAL MUNICIPALITY
131,408,Binayi Triveni,40808,Gandaki,1,Dumkibas Poultry Farm Pvt. ltd.
132,408,Binayi Triveni,40808,Gandaki,2,Golden Harvest Farm Pvt Ltd
133,408,Devchuli,40805,Gandaki,2,"Khanal Sarmik Suppliers Pvt Ltd,Devchuli Municipality-02"
134,408,Gaindakot,40801,Gandaki,16,NIDISI NEPAL
135,408,Gaindakot,40801,Gandaki,4,Time Pharmaceuticals Limited
136,408,Gaindakot,40801,Gandaki,2,Gandaki Saving and Credit Cooperative Society Ltd
137,408,Kawasoti,40806,Gandaki,17,Himalayan Wildlife Sanctuary
138,409,Aandhikhola,40903,Gandaki,4,AAANDHIKHOLA KRISHI UDYAM SAHAKARI SANSTHA LTD
139,503,Sworgadwari,50305,Lumbini,2,Shree Swargadwari Ashram
140,507,Bardaghat,50701,Lumbini,7,Gramin Balmiki Savings & Credit Cooperative Ltd 
141,507,Sunwal,50702,Lumbini,5,R.A.Energy Power Service
142,507,Sunwal,50702,Lumbini,5,Rajpoot Energy Service
143,508,Butwal,50802,Lumbini,10,Gautam Buddha Community Heart Hospital 
144,508,Butwal,50802,Lumbini,9,Trust Micro Insurance Ltd.
