"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"167",2249,0,0,0,0,0,0,0,0,232960,135600,0,0,0,50000,0,0,368560,0
"273",2637,0,0,0,0,0,0,0,0,356200,58500,0,0,0,10000,15000,0,414700,0
"297",2752,0,0,0,0,0,0,0,0,387660,26700,0,18900,0,20000,0,18900,433260,0
"763",4193,0,0,0,0,0,0,0,0,88400,0,0,600,200,17600,0,800,89200,0
"1316",5522,0,0,0,0,0,0,0,0,80600,0,0,0,0,58000,5000,0,80600,0
"2088",8694,0,0,0,0,0,0,0,0,369720,17800,5000,9450,0,0,0,14450,401970,0
"2146",9100,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,5000,0,0,NA
