"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"47",920,0,0,-2977000,48000,113200,0,0,-2815800,204880,0,0,0,0,5e+05,0,0,204880,-13.743654822335
"48",938,0,0,0,96000,0,0,625000,721000,238940,0,0,7200,2200,0,0,9400,248340,2.90327776435532
"49",993,0,2e+05,0,48000,0,108000,10000,366000,364624,57200,0,182300,0,150000,0,182300,604124,0.605835887996504
"50",1001,2089000,0,0,0,0,0,45000,2134000,852800,0,0,113200,0,1050000,5,113200,966000,2.20910973084886
"51",1003,1254040,0,0,0,0,0,110095,1364135,3484000,0,0,1500,0,50000,35000,1500,3485500,0.391374264811361
"52",1011,0,0,0,0,137000,0,0,137000,244140,47240,0,0,0,3000,0,0,291380,0.470176401949345
"53",1013,363000,-26200,480000,0,0,0,0,816800,244400,49700,0,0,0,10000,0,0,294100,2.77728663719823
"54",1021,266400,19250,15500,0,57600,0,7000,365750,147160,0,25820,50105,0,1e+05,550,75925,223085,1.63950960396262
"55",1031,0,15800,6e+05,0,0,0,5000,620800,477360,70000,0,0,0,1e+05,0,0,547360,1.134171294943
"56",1037,19500,4300,0,36000,0,0,100,59900,335920,34000,0,0,750,30000,40000,750,370670,0.161599266193649
"57",1045,880000,0,0,52500,0,0,3000,935500,667680,3500,0,0,0,2e+05,0,0,671180,1.39381388003218
"58",1069,0,0,0,48000,483000,120000,0,651000,513240,27008,0,2400,800,0,0,3200,543448,1.19790669944503
"59",1071,0,0,0,0,388800,0,27000,415800,458640,19900,0,0,0,0,0,0,478540,0.868892882517658
"60",1073,440000,0,0,0,0,0,14200,454200,301080,116000,0,0,500,500,0,500,417580,1.08769577087025
"61",1078,0,-33850,0,48000,0,0,46500,60650,241800,8000,0,17760,0,20000,40000,17760,267560,0.226678128270295
"62",1090,0,17000,0,0,-276000,0,144500,-114500,764400,222000,0,0,0,310000,0,0,986400,-0.116078669910787
"63",1095,0,252000,-350000,0,204000,0,22000,128000,228800,72250,0,8120,370,50000,0,8490,309540,0.413516831427279
"64",1105,216500,1434500,2480000,0,0,0,10000,4141000,458640,0,0,0,500,80000,120000,500,459140,9.01903558827373
"65",1297,0,-26400,715000,0,0,0,100,688700,139100,0,0,0,1400,15000,5000,1400,140500,4.9017793594306
"66",1302,0,82600,-50000,0,0,0,200,32800,228800,80600,0,0,1860,80000,50000,1860,311260,0.105378140461351
"67",1311,180000,45100,0,0,0,0,0,225100,182780,9000,0,40100,5350,70000,0,45450,237230,0.948868186991527
"68",1427,0,0,1300000,0,0,0,204000,1504000,527696,900,0,0,0,13000,10400,0,528596,2.8452731386541
"69",1451,0,0,725000,0,0,0,0,725000,315640,43200,0,0,0,15000,0,0,358840,2.02039906364954
"70",1455,437726,0,0,48000,0,0,0,485726,433160,0,0,0,0,25000,20000,0,433160,1.12135469572444
"71",1463,250000,6300,620000,48000,0,0,0,924300,218660,46800,0,0,0,35000,0,0,265460,3.4818805093046
"72",1471,0,1495400,5e+05,0,0,0,300,1995700,226720,0,0,7020,0,20000,11000,7020,233740,8.53811927783007
"73",1524,888000,-3998,0,0,0,0,725000,1609002,281320,27300,0,0,0,2e+05,2e+05,0,308620,5.21353768388309
"74",1529,452000,4000,-80000,0,0,0,20000,396000,234000,11700,0,0,0,7500,0,0,245700,1.61172161172161
"75",1531,426000,105000,-5e+05,0,0,0,0,31000,487500,28850,0,0,0,3500,0,0,516350,0.060036796746393
"76",1535,0,0,0,0,0,0,400,400,163020,23000,0,0,0,2e+05,0,0,186020,0.00215030641866466
"77",1537,1909000,39000,0,6000,0,0,150000,2104000,179504,44600,0,25100,0,6100,0,25100,249204,8.44288213672333
"78",1539,84000,0,0,48000,0,0,0,132000,67080,-7700,0,0,1000,1500,0,1000,60380,2.18615435574694
"79",1540,50000,34000,-50000,0,0,0,600,34600,201812,0,0,0,0,0,12000,0,201812,0.171446692961766
"80",1542,2280000,97650,-2975000,0,0,0,384005,-213345,369200,0,0,600,0,0,1200,600,369800,-0.576919956733369
"81",1544,20000,18500,-3e+05,48000,0,0,5,-213495,212680,6000,0,4400,0,3000,0,4400,223080,-0.95703335126412
"82",1556,508000,0,-70000,48000,0,180000,15000,681000,307320,162600,0,90000,400,138000,30000,90400,560320,1.21537692747002
"83",1558,15000,0,0,0,216100,0,0,231100,364260,0,0,0,0,3000,0,0,364260,0.634436940646791
"84",1596,142000,-16500,0,0,50000,0,0,175500,252200,700,0,0,0,90000,0,0,252900,0.693950177935943
"85",1602,36000,77900,0,0,148000,0,3000,264900,386360,17000,0,0,0,5000,0,0,403360,0.656733439111464
"86",1611,120000,0,0,0,0,0,32000,152000,539760,119000,0,14340,30,20000,5000,14370,673130,0.225810764636846
"87",1626,0,-23900,20000,0,0,0,500,-3400,109980,0,0,7500,555,10000,15000,8055,118035,-0.0288050154615157
"88",1628,0,2,5e+05,0,0,0,500,500502,280800,162200,0,0,0,50000,50000,0,443000,1.12980135440181
"89",1630,180000,0,0,0,0,0,3000,183000,65000,19700,0,0,0,0,0,0,84700,2.16056670602125
"90",1652,0,40500,0,0,0,0,0,40500,460200,14500,0,12700,0,1200,2500,12700,487400,0.0830939679934345
"91",1653,65000,-58000,-206000,30000,0,0,0,-169000,169000,0,0,0,0,1200,0,0,169000,-1
"92",1657,198000,0,0,6000,0,0,0,204000,282360,-4300,0,0,0,2000,0,0,278060,0.73365460691937
"93",1659,0,-13500,0,0,0,0,400,-13100,127400,0,0,0,1600,5000,500,1600,129000,-0.101550387596899
"94",1663,240000,-4500,0,48000,0,0,5000,288500,259220,44900,0,0,0,0,0,0,304120,0.948638695251874
"95",1665,729000,-139700,-360000,2200,0,0,5,231505,304460,-450,0,0,1300,2800,0,1300,305310,0.758262094264846
"96",1682,24000,-500,-198000,6000,0,0,0,-168500,167856,27300,5200,5700,500,2200,2750,11400,206556,-0.815759406650013
"97",1698,76000,-3150,0,48000,0,0,0,120850,237120,16100,0,1200,0,4000,0,1200,254420,0.475001965254304
"98",1704,855636,-6000,-260000,6000,0,0,155452,751088,96720,0,358025,95025,0,378025,75000,453050,549770,1.36618585954126
"99",1768,0,0,2e+06,0,0,0,851200,2851200,240656,0,0,8900,0,15000,15000,8900,249556,11.4250909615477
"100",1770,0,29800,0,0,78000,0,0,107800,207480,73950,0,2000,0,11000,35000,2000,283430,0.380340824895036
"101",1783,0,-8735,30000,48000,0,0,271400,340665,175760,0,0,0,0,10000,0,0,175760,1.93823964497041
"102",1785,145000,-35900,0,48000,0,0,543500,700600,356200,80150,0,0,0,0,0,0,436350,1.60559184141171
"103",1787,666760,-20750,0,0,595000,0,600,1241610,1117480,63200,0,19600,7800,1e+05,10000,27400,1208080,1.02775478445136
"104",1788,360000,-14000,0,0,30000,0,9000,385000,406640,258000,0,29370,0,50000,0,29370,694010,0.554747049754326
"105",1791,0,105800,0,48000,10000,0,60000,223800,917280,26000,0,0,0,20000,0,0,943280,0.237257230090747
"106",1799,0,-9100,3e+05,0,-5e+05,24000,59900,-125200,359320,100800,0,0,0,20000,0,0,460120,-0.272102929670521
"107",1801,5e+05,0,0,0,110000,0,0,610000,151320,19500,0,5760,0,7000,0,5760,176580,3.45452486125269
"108",1803,250000,-1616,480000,0,0,0,36400,764784,170768,0,0,4544,0,8000,0,4544,175312,4.36241671990508
"109",1866,0,158260,6e+05,0,0,0,100,758360,160732,68200,0,8000,0,45000,105000,8000,236932,3.20074958215859
"110",1878,195000,0,0,48000,108000,240000,60000,651000,761280,312600,0,123300,0,150000,20000,123300,1197180,0.543777878013331
"111",1903,0,-46250,0,0,0,0,36000,-10250,234000,48000,67000,67000,0,61000,0,134000,416000,-0.0246394230769231
"112",1916,165000,0,0,0,0,336000,11000,512000,265200,132500,0,0,0,2163,25000,0,397700,1.2874025647473
"113",1935,159000,-1800,0,0,0,0,9600,166800,264628,11300,0,0,0,10000,1295,0,275928,0.60450552317996
"114",1937,0,-22000,455000,0,0,0,26700,459700,152256,0,0,49370,0,40000,8000,49370,201626,2.27996389354548
"115",1945,342080,0,0,48000,0,0,67000,457080,898820,22500,80050,22950,0,105000,0,103000,1024320,0.446227741330834
"116",1965,3471000,30000,0,0,0,0,270000,3771000,620620,0,0,36220,0,110000,30000,36220,656840,5.74112417026978
"117",1966,630000,0,0,0,0,240000,16000,886000,405080,91200,0,0,0,21000,14000,0,496280,1.78528250181349
"118",1982,0,-1100,0,0,0,0,0,-1100,253240,0,0,70480,500,80000,0,70980,324220,-0.00339275800382456
"119",1987,1070500,0,0,1e+05,0,264000,35000,1469500,912080,0,0,100500,0,160000,18000,100500,1012580,1.45124335854945
"120",1988,50000,0,0,0,0,240000,37500,327500,341640,0,0,67925,0,41000,17000,67925,409565,0.799628874537619
