"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v919","v919a","v920","v921","v922","v923","v924","v925","v926","v927","v928","v929","v930","v931","v932","v932a","v932b","v932c","v932d"
2895,1208,11211,"9","10","v3","Y",23,NA,"1 ","10000, 12000","600","1 ",15000,"600","1 ","50","25000","6000","0","0","0",NA,"0, 5000","55000","8000","0"
3334,3111,31101,"7","1","v5","Y",28,NA,"1 ","1500, 500","0","1 ",11000,"3000","1 , 2 ","5","4000","200","0","0, 500","0",NA,"0","1500","0, 1","0, 2000"
