"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v1121","v1122","v1123","v1124","v1125","v1126","v1127","v1128","v1129","v1130","v1131","v1132"
2861,1211,11306,"5","6","v3","Y",12,"1 , 2 ",3e+05,"300000",NA,NA,NA,NA,NA,NA,NA,NA,NA
3288,3106,30604,"11","4","v5","Y",92,"1 , 2 ",NA,NA,NA,"0","0","2 ",NA,NA,NA,"0","0"
3639,3365,30703,"3","1","v5","Y",53,"1 ",3e+07,"29000000","0","0, 600000","0","1 ","200000",164000,"0","0","0"
