"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v401","v402","v403a","v403b"
3556,1317,11307,"8","1","v5","Y",12,4,"1 ","1440000, 42000","12000, 3500"
3556,1317,11307,"8","1","v5","Y",12,5,"1 , 2 ",NA,NA
