"ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v702","v703","v704","v705","v706","v707","v708","v711","v712","v713","v715","v717"
5386,2208,20614,"1","5","v5","N",28,24179,1,"2 ","1 , 2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA
5386,2208,20614,"1","5","v5","N",28,24180,2,"2 ","1 , 2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA
