"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","v901","v902","v902a","v902b","v903","v904","v904a","v904b","v904c","v904d","v905","v906","v907a","v907b"
"1",7825,3111,31101,"7","7","v5","N",28,"1 ",NA,"2","DAMARKHARI","1 ",NA,NA,NA,"5",NA,"SINDHULI","25000000",NA,"1 "
"2",7825,3111,31101,"7","7","v5","N",28,"1 ",NA,"2","DAMARKHARI","1 ",NA,NA,NA,"5",NA,"SINDHULI","25000000",NA,"1 "
