"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v629","v630","v630a","v631a","v631b","v632","v633","v634","v634a","v635","v635a","v636","v636a","v637","v638","v639a","v639b","v639c","v640","v640a","v641"
"38",7517,4204,40605,"6","5","v5","N",43,35426,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",7517,4204,40605,"6","5","v5","N",43,35426,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",7576,3104,30512,"1","37","v5","N",58,35723,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"41",7576,3104,30512,"1","37","v5","N",58,35723,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"42",7599,4204,40605,"6","2","v5","N",42,35842,3,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",7599,4204,40605,"6","2","v5","N",42,35842,3,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",7612,4320,40504,"10","1","v6","N",91,35910,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"45",7612,4320,40504,"10","1","v6","N",91,35910,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"46",7620,4224,40504,"9","3","v6","N",91,35942,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"47",7620,4224,40504,"9","3","v6","N",91,35942,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"48",8304,1103,10602,"2","8","v6","N",12,39429,5,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"49",8304,1103,10602,"2","8","v6","N",12,39429,5,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"50",8304,1103,10602,"2","8","v6","N",12,39429,5,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"51",8304,1103,10602,"2","8","v6","N",12,39429,5,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
